,word,pronunciation,common tag,jlpt tag,meanings_wrapper,details_href,verb_tag
64,写真,しゃしん,Common word,JLPT N5,"{'Noun': 'photograph; photo; picture; snapshot; snap', 'Wikipedia definition': 'movie'}",https://jisho.org/word/写真,Not Verb
65,冬,ふゆ,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'winter', 'Wikipedia definition': 'Winter'}",https://jisho.org/word/冬,Not Verb
66,村,むら,Common word,JLPT N5,"{'Noun': 'village', 'Wikipedia definition': 'Village'}",https://jisho.org/word/村,Not Verb
67,傘,かさ,Common word,JLPT N5,"{'Noun': 'umbrella; parasol', 'Wikipedia definition': 'something shaped like an umbrella or a conical hat; shade (of a lamp); mushroom cap; pileus'}",https://jisho.org/word/傘,Not Verb
68,口,くち,Common word,JLPT N5,"{'Noun': 'mouth', 'Suffix, Counter': 'opening; hole; gap; orifice', 'Wikipedia definition': 'mouth (of a bottle); spout; nozzle; mouthpiece'}",https://jisho.org/word/口,Not Verb
69,橋,はし,Common word,JLPT N5,"{'Noun': 'bridge', 'Wikipedia definition': 'Bridge'}",https://jisho.org/word/橋,Not Verb
70,病院,びょういん,Common word,JLPT N5,"{'Noun, No-adjective': 'hospital', 'Wikipedia definition': 'Hospital'}",https://jisho.org/word/病院,Not Verb
71,図書館,としょかん,Common word,JLPT N5,"{'Noun': 'library', 'Wikipedia definition': 'Library', 'Other forms': '図書館 【ずしょかん】', 'Notes': 'ずしょかん: Out-dated or obsolete kana usage.'}",https://jisho.org/word/図書館,Not Verb
72,春,はる,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'spring; springtime', 'Wikipedia definition': 'New Year'}",https://jisho.org/word/春,Not Verb
73,買い物,Multi-scripted word,Common word,JLPT N5,"{'Noun': 'shopping; purchased goods', 'Wikipedia definition': 'Shopping', 'Other forms': '買物 【かいもの】、買い物 【かいもん】、買物 【かいもん】、買いもん 【かいもん】'}",https://jisho.org/word/買い物,Not Verb
74,椅子,いす,Common word,JLPT N5,"{'Noun': 'chair; stool', 'Wikipedia definition': 'post; office; position', 'Other forms': 'Chair', 'Notes': '倚子 【いす】、イス'}",https://jisho.org/word/椅子,Not Verb
75,自動車,じどうしゃ,Common word,JLPT N5,"{'Noun': 'automobile', 'Wikipedia definition': 'Automobile'}",https://jisho.org/word/自動車,Not Verb
76,色,いろ,Common word,JLPT N5,"{'Noun': 'colour; color; hue; tint; tinge; shade', 'Wikipedia definition': 'complexion; skin colour; skin color'}",https://jisho.org/word/色,Not Verb
77,卵,たまご,Common word,JLPT N5,"{'Noun': 'eggs; egg; spawn; roe', 'Wikipedia definition': 'hen egg', 'Other forms': '(an expert) in the making'}",https://jisho.org/word/卵,Not Verb
78,肉,にく,Common word,JLPT N5,"{'Noun': 'flesh', 'Wikipedia definition': 'meat', 'Other forms': 'the physical body (as opposed to the spirit)'}",https://jisho.org/word/肉,Not Verb
79,風邪,かぜ,Common word,JLPT N5,"{'Noun': 'common cold; cold; influenza; flu; ague', 'Wikipedia definition': 'Common cold', 'Other forms': '風邪 【ふうじゃ】'}",https://jisho.org/word/風邪,Not Verb
80,掃除,そうじ,Common word,JLPT N5,"{'Noun, Suru verb': 'cleaning; sweeping; dusting; scrubbing', 'Wikipedia definition': 'Cleanliness'}",https://jisho.org/word/掃除,suru
81,紙,かみ,Common word,JLPT N5,"{'Noun': 'paper', 'Wikipedia definition': 'Paper'}",https://jisho.org/word/紙,Not Verb
82,鍵,かぎ,Common word,JLPT N5,"{'Noun': 'key', 'Wikipedia definition': 'lock', 'Other forms': 'Key (lock)'}",https://jisho.org/word/鍵,Not Verb
83,雑誌,ざっし,Common word,JLPT N5,"{'Noun': 'journal; magazine; periodical', 'Wikipedia definition': 'Magazine'}",https://jisho.org/word/雑誌,Not Verb
84,切符,きっぷ,Common word,JLPT N5,"{'Noun': 'ticket', 'Wikipedia definition': 'Ticket'}",https://jisho.org/word/切符,Not Verb
85,外国人,がいこくじん,Common word,JLPT N5,"{'Noun': 'foreigner; foreign citizen; foreign national; alien; non-Japanese', 'Wikipedia definition': 'Alien (law)'}",https://jisho.org/word/外国人,Not Verb
86,財布,さいふ,Common word,JLPT N5,"{'Noun': 'purse; handbag; wallet', 'Wikipedia definition': 'Wallet'}",https://jisho.org/word/財布,Not Verb
87,鉛筆,えんぴつ,Common word,JLPT N5,"{'Noun': 'pencil', 'Wikipedia definition': 'Pencil', 'Other forms': 'エンピツ'}",https://jisho.org/word/鉛筆,Not Verb
88,大人,おとな,Common word,JLPT N5,"{'Noun, No-adjective, Na-adjective': 'adult', 'Wikipedia definition': 'Adult', 'Other forms': '大人 【だいにん】'}",https://jisho.org/word/大人,Not Verb
89,塩,しお,Common word,JLPT N5,"{'Noun': 'salt (i.e. sodium chloride); common salt; table salt', 'Wikipedia definition': 'salt (e.g. sodium chloride, calcium sulfate, etc.)', 'Other forms': 'hardship; toil; trouble'}",https://jisho.org/word/塩,Not Verb
90,砂糖,さとう,Common word,JLPT N5,"{'Noun': 'sugar', 'Wikipedia definition': 'Sugar'}",https://jisho.org/word/砂糖,Not Verb
91,夏休み,Dual-script word,Common word,JLPT N5,"{'Noun': 'summer vacation; summer holiday', 'Wikipedia definition': 'Summer vacation'}",https://jisho.org/word/夏休み,Not Verb
92,郵便局,ゆうびんきょく,Common word,JLPT N5,"{'Noun': 'post office', 'Wikipedia definition': 'Post office'}",https://jisho.org/word/郵便局,Not Verb
93,池,いけ,Common word,JLPT N5,"{'Noun': 'pond', 'Wikipedia definition': 'Pond'}",https://jisho.org/word/池,Not Verb
94,教室,きょうしつ,Common word,JLPT N5,"{'Noun': 'classroom', 'Wikipedia definition': 'department; laboratory'}",https://jisho.org/word/教室,Not Verb
95,耳,みみ,Common word,JLPT N5,"{'Noun': 'ear', 'Wikipedia definition': 'hearing'}",https://jisho.org/word/耳,Not Verb
96,切手,きって,Common word,JLPT N5,"{'Noun': 'stamp (postage); merchandise certificate', 'Wikipedia definition': 'Postage stamp'}",https://jisho.org/word/切手,Not Verb
97,台所,だいどころ,Common word,JLPT N5,"{'Noun, No-adjective': 'kitchen', 'Noun': 'financial situation', 'Wikipedia definition': 'Kitchen', 'Other forms': '台所 【だいどこ】、臺處 【だいどころ】、臺處 【だいどこ】', 'Notes': '臺處: Out-dated kanji. 臺處: Out-dated kanji.'}",https://jisho.org/word/台所,Not Verb
98,電気,でんき,Common word,JLPT N5,"{'Noun': 'electricity', 'Wikipedia definition': '(electric) light'}",https://jisho.org/word/電気,Not Verb
99,歯,は,Common word,JLPT N5,"{'Noun': 'tooth', 'Wikipedia definition': 'Human tooth', 'Other forms': '齒 【は】', 'Notes': '齒: Out-dated kanji.'}",https://jisho.org/word/歯,Not Verb
100,作文,さくぶん,Common word,JLPT N5,"{'Noun, Suru verb': 'writing (an essay, prose, etc.); composition', 'Wikipedia definition': 'formal writing with little real meaning'}",https://jisho.org/word/作文,suru
101,紅茶,こうちゃ,Common word,JLPT N5,"{'Noun': 'black tea', 'Wikipedia definition': 'Black tea'}",https://jisho.org/word/紅茶,Not Verb
102,家庭,かてい,Common word,JLPT N5,"{'Noun, No-adjective': 'home; family; household', 'Wikipedia definition': 'Home'}",https://jisho.org/word/家庭,Not Verb
103,野菜,やさい,Common word,JLPT N5,"{'Noun, No-adjective': 'vegetable', 'Wikipedia definition': 'Vegetable'}",https://jisho.org/word/野菜,Not Verb
104,風呂,ふろ,Common word,JLPT N5,"{'Noun': 'bath; bathing; bathtub; bathroom', 'Wikipedia definition': 'bathhouse; public bath'}",https://jisho.org/word/風呂,Not Verb
105,玄関,げんかん,Common word,JLPT N5,"{'Noun': 'entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room', 'Wikipedia definition': 'Genkan', 'Other forms': '玄關 【げんかん】', 'Notes': '玄關: Out-dated kanji.'}",https://jisho.org/word/玄関,Not Verb
106,地下鉄,ちかてつ,Common word,JLPT N5,"{'Noun': 'underground train; subway', 'Wikipedia definition': 'Rapid transit'}",https://jisho.org/word/地下鉄,Not Verb
107,鼻,はな,Common word,JLPT N5,"{'Noun': 'nose', 'Wikipedia definition': 'Nose'}",https://jisho.org/word/鼻,Not Verb
108,緑,みどり,Common word,JLPT N5,"{'No-adjective, Noun': 'green', 'Noun': 'greenery (esp. fresh verdure)', 'Wikipedia definition': 'Green', 'Other forms': '翠 【みどり】'}",https://jisho.org/word/緑,Not Verb
109,昼,ひる,Common word,JLPT N5,"{'Noun': 'noon; midday', 'Wikipedia definition': 'daytime', 'Other forms': 'lunch', 'Notes': 'Daylight'}",https://jisho.org/word/昼,Not Verb
110,西,にし,Common word,JLPT N5,"{'Noun': 'west', 'Wikipedia definition': 'West'}",https://jisho.org/word/西,Not Verb
111,白,しろ,Common word,JLPT N5,"{'Noun': 'white', 'Wikipedia definition': 'innocence; innocent person'}",https://jisho.org/word/白,Not Verb
112,洗濯,せんたく,Common word,JLPT N5,"{'Noun, Suru verb': 'washing; laundry', 'Wikipedia definition': 'relaxing; taking a break'}",https://jisho.org/word/洗濯,suru
113,冷蔵庫,れいぞうこ,Common word,JLPT N5,"{'Noun': 'refrigerator; fridge', 'Wikipedia definition': 'Refrigerator'}",https://jisho.org/word/冷蔵庫,Not Verb
114,南,みなみ,Common word,JLPT N5,"{'Noun': 'south', 'Wikipedia definition': 'South'}",https://jisho.org/word/南,Not Verb
115,火曜日,かようび,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'Tuesday', 'Wikipedia definition': 'Tuesday'}",https://jisho.org/word/火曜日,Not Verb
116,北,きた,Common word,JLPT N5,"{'Noun': 'north', 'Wikipedia definition': 'the North; northern territories'}",https://jisho.org/word/北,Not Verb
117,茶色,ちゃいろ,Common word,JLPT N5,"{'Noun, No-adjective': 'light brown; tawny', 'Wikipedia definition': 'Brown', 'Other forms': 'ちゃ色 【ちゃいろ】、茶いろ 【ちゃいろ】'}",https://jisho.org/word/茶色,Not Verb
118,黒,くろ,Common word,JLPT N5,"{'Noun': 'black', 'Wikipedia definition': 'black go stone'}",https://jisho.org/word/黒,Not Verb
119,喫茶店,きっさてん,Common word,JLPT N5,"{'Noun': 'coffee shop; tearoom; coffee lounge; coffeehouse; cafe', 'Wikipedia definition': 'Kissaten', 'Other forms': '喫茶店 【きっちゃてん】'}",https://jisho.org/word/喫茶店,Not Verb
120,青,あお,Common word,JLPT N5,"{'Noun, No-adjective': 'blue; azure', 'Noun': 'green', 'Prefix': 'green light (traffic)', 'Wikipedia definition': 'black (horse coat color)', 'Other forms': 'immature; unripe; young'}",https://jisho.org/word/青,Not Verb
121,靴下,くつした,Common word,JLPT N5,"{'Noun': 'socks; sock; stockings; stocking', 'Wikipedia definition': 'Sock', 'Other forms': 'くつ下 【くつした】、沓下 【くつした】'}",https://jisho.org/word/靴下,Not Verb
122,封筒,ふうとう,Common word,JLPT N5,"{'Noun': 'envelope', 'Wikipedia definition': 'Envelope'}",https://jisho.org/word/封筒,Not Verb
123,辺,へん,Common word,JLPT N5,"{'Noun': 'area; vicinity; region', 'Wikipedia definition': 'side; edge'}",https://jisho.org/word/辺,Not Verb
124,黄色,きいろ,Common word,JLPT N5,"{'Na-adjective, Noun': 'yellow; amber', 'Wikipedia definition': 'Yellow', 'Other forms': '黄色 【こうしょく】、黄色 【おうしょく】'}",https://jisho.org/word/黄色,Not Verb
125,映画館,えいがかん,Common word,JLPT N5,"{'Noun': 'movie theatre; movie theater; cinema', 'Wikipedia definition': 'Movie theater'}",https://jisho.org/word/映画館,Not Verb
126,箸,はし,Common word,JLPT N5,"{'Noun': 'chopsticks', 'Wikipedia definition': 'Chopsticks'}",https://jisho.org/word/箸,Not Verb
127,食堂,しょくどう,Common word,JLPT N5,"{'Noun': 'dining room; dining hall; cafeteria; messroom', 'Wikipedia definition': 'restaurant; eatery; snack bar; diner'}",https://jisho.org/word/食堂,Not Verb
128,牛肉,ぎゅうにく,Common word,JLPT N5,"{'Noun': 'beef', 'Wikipedia definition': 'Beef'}",https://jisho.org/word/牛肉,Not Verb
129,交差点,こうさてん,Common word,JLPT N5,"{'Noun': 'crossing; intersection', 'Wikipedia definition': 'Intersection (road)', 'Other forms': '交叉点 【こうさてん】'}",https://jisho.org/word/交差点,Not Verb
130,曇り,Dual-script word,Common word,JLPT N5,"{'Noun': 'cloudiness; cloudy weather', 'Wikipedia definition': 'fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; shadow; dimness', 'Other forms': 'gloom; dejection'}",https://jisho.org/word/曇り,Not Verb
131,漢字,かんじ,Common word,JLPT N5,"{'Noun': 'Chinese characters; kanji', 'Wikipedia definition': 'Chinese characters'}",https://jisho.org/word/漢字,Not Verb
132,茶碗,ちゃわん,Common word,JLPT N5,"{'Noun': 'rice bowl; tea cup; teacup', 'Wikipedia definition': 'Chawan', 'Other forms': '茶わん 【ちゃわん】'}",https://jisho.org/word/茶碗,Not Verb
133,背広,背広せびろ,Common word,JLPT N5,"{'Noun': 'business suit', 'Wikipedia definition': 'Suit (clothing)', 'Other forms': '脊広 【せびろ】、セビロ', 'Notes': '背広: Ateji (phonetic) reading. 脊広: Ateji (phonetic) reading.'}",https://jisho.org/word/背広,Not Verb
134,灰皿,はいざら,Common word,JLPT N5,"{'Noun': 'ashtray', 'Wikipedia definition': 'Ashtray'}",https://jisho.org/word/灰皿,Not Verb
135,万年筆,まんねんひつ,Common word,JLPT N5,"{'Noun': 'fountain pen', 'Wikipedia definition': 'Fountain pen', 'Other forms': '万年筆 【まんねんぴつ】、万年筆 【まんねんふで】'}",https://jisho.org/word/万年筆,Not Verb
136,大使館,たいしかん,Common word,JLPT N5,"{'Noun': 'embassy', 'Wikipedia definition': 'Diplomatic mission'}",https://jisho.org/word/大使館,Not Verb
